Name	Protocol	Port	Comments
tcp_2701-2702	tcp	2701-2702	
tcp_27010	tcp	27010	
tcp_2748	tcp	2748	
tcp_2776	tcp	2776	
tcp_2789	tcp	2789	
tcp_28472	tcp	28472	
tcp_28910-28930	tcp	28910-28930	
tcp_29113	tcp	29113	
tcp_2912	tcp	2912	
tcp_29310	tcp	29310	
tcp_2967	tcp	2967	
tcp_30000	tcp	30000	
tcp_30000-30001	tcp	30000-30001	
tcp_30000-30050	tcp	30000-30050	
tcp_30000-30999	tcp	30000-30999	
tcp_3000_3018	tcp	3000-3018	omni plus
tcp_30015	tcp	30015	
tcp_30031	tcp	30031	
tcp_3009	tcp	3009	
tcp_300_400	tcp	300-400	
tcp_3019	tcp	3019	for TSP
tcp_3052	tcp	3052	
tcp_3060	tcp	3060	
tcp_3067	tcp	3067	
tcp_3075_orbix	tcp	3075	
tcp_30767	tcp	30767	
tcp_30767-30768	tcp	30767-30768	
tcp_30768	tcp	30768	
tcp_30771	tcp	30771	
tcp_3079	tcp	3079	
tcp_3101	tcp	3101	blackberry
tcp_3102	tcp	3102	
tcp_31111	tcp	31111	
tcp_31111-31119	tcp	31111-31119	
tcp_31300	tcp	31300	
tcp_3131	tcp	3131	
tcp_3132	tcp	3132	
tcp_3140	tcp	3140	
tcp_3141	tcp	3141	
tcp_3181	tcp	3181	for bmc
tcp_3182	tcp	3182	
tcp_3183	tcp	3183	
tcp_3192	tcp	3192	
tcp_3200	tcp	3200	
tcp_3200-3202	tcp	3200-3202	
